3675	0.9	0.9	0.5	0.5
2946	0.9	0.9	0.611111	0.611111
2909	0.9	0.9	0.666667	0.666667
1117	0.9	0.9	0.611111	0.611111
10	0.9	0.9	0.722222	0.722222
824	0.8	0.8	0.5	0.5
5103	1	0.8	0.5	0.5
4823	1	0.8	0.611111	0.611111
4425	1	0.8	0.722222	0.722222
4356	0.8	0.8	0.777778	0.722222
424	1	0.8	0.666667	0.666667
4227	0.8	0.8	0.722222	0.722222
4009	0.9	0.8	0.388889	0.388889
3942	0.8	0.8	0.611111	0.611111
3934	0.8	0.8	0.777778	0.777778
3391	1	0.8	0.777778	0.777778
3389	0.9	0.8	0.666667	0.666667
272	0.8	0.8	0.777778	0.777778
2529	0.9	0.8	0.611111	0.611111
2116	0.8	0.8	0.5	0.5
2041	0.9	0.8	0.888889	0.888889
1980	1	0.8	0.777778	0.777778
1733	0.8	0.8	0.666667	0.666667
1586	0.8	0.8	0.833333	0.833333
1124	0.8	0.8	0.722222	0.722222
1112	0.8	0.8	0.722222	0.722222
5888	0.8	0.7	0.555556	0.555556
5831	1	0.7	0.555556	0.555556
5722	0.7	0.7	0.611111	0.611111
5482	0.7	0.7	0.611111	0.611111
4972	0.9	0.7	0.5	0.5
4560	0.8	0.7	0.722222	0.722222
4033	0.7	0.7	0.722222	0.722222
3916	0.8	0.7	0.777778	0.777778
3665	0.8	0.7	0.722222	0.722222
3474	0.8	0.7	0.722222	0.666667
3450	0.7	0.7	0.777778	0.722222
3081	0.7	0.7	0.555556	0.555556
3029	0.7	0.7	0.666667	0.666667
302	0.8	0.7	0.777778	0.722222
3012	1	0.7	0.555556	0.555556
284	0.8	0.7	0.722222	0.666667
2665	0.8	0.7	0.888889	0.888889
2042	0.8	0.7	0.611111	0.611111
1998	0.7	0.7	0.777778	0.777778
1912	0.7	0.7	0.555556	0.555556
1676	0.8	0.7	0.555556	0.555556
1666	0.8	0.7	0.555556	0.555556
1298	0.7	0.7	0.611111	0.611111
1125	0.7	0.7	0.5	0.5
